"CO/Pt111 System Monte-Carlo Simulation."		"Started: Wed Dec 16 11:37:05 2009"																																															
																																																	
																																																	
"name=./montecarlo-1.1.1"																																																	
"dim=32"	" n_co=205"																																																
"skip_sweeps=100000"	" time_factor=1"	" time_steps=10"	" repeats=1000000"																																														
"options: s "																																																	
"Interaction mode: None"																																																	
																																																	
"----------------------"																																																	
																																																	
"Coordinates:"																																																	
-1.22	6.78		8.9	-12.06		7.34	6.05		2.67	0.02		-4.22	-10.71		10.2	-0.2		7.98	-6.09		-4.2	0.76		-2.71	-0.46		-3.59	4.33		-7.86	-9.04		-0.75	11.01		3.36	-9.71		-12.58	1.87		5.18	-19.87		4.24	-9.9		1.22	-0.29
3.48	-2.31		1.35	6.49		-8.95	-2.21		-11.03	-3.45		13.16	17.43		-5.73	2.32		10.81	6.05		2.05	8.81		-11.31	-10.58		-1.46	4.23		12.87	7		2.62	1.61		-7.91	1.71		-1.88	-13.03		4.22	2.49		6.07	-10.44		0.92	4.23
4.4	4.11		-13.19	-15.43		-4.76	11.47		-8.2	10.87		-6.68	-16.69		-16.98	-1.93		-22.99	-5.57		-3.64	-11.42		16.59	-6.07		0.62	9.62		-4.82	-3.39		-2.49	0.97		15.2	0.16		13.53	-5.48		5.64	-15.97		-5.24	-6.48		1.94	-5.15
-4.07	16.59		7.55	-6.65		3.3	11.24		10.83	-3.76		-2.07	2.44		11.06	9.93		-3.3	3.53		-2.68	-0.32		2.42	19.76		-16.21	5.91		18.97	-11.36		-10.59	-6.53		7.04	9.4		-10.25	-1.99		-9.33	13.55		8.75	-3.62		4.52	-11.36
7	0		5.59	5.53		-6.95	4.2		-1.02	7.09		19.07	1		-7.4	7.23		6.96	15.6		-7.65	5.85		1	-14		2.59	10.3		8.94	-7.13		-7.7	-10.95		4.93	-1		5.29	3.74		3.05	1.47		-5.7	0.81		15	0
-4.07	-16.59		6.85	5.1		2.64	1.24		16.28	-8.13		5.45	0.55		4.35	-2.33		4.37	-5.5		5.26	-12.87		10.38	-0.77		23.98	0.34		-15.79	5.64		16.64	-6.16		-5.28	9.9		-11.22	-9.62		16.7	9.39		12.64	8.49		4.52	11.36
4.4	-4.11		-10.29	-1.59		-2.86	-13.31		-3.07	0.12		8.68	0.7		-5.39	8.39		7.06	15.13		5.55	2.27		5.18	5.06		16.77	-2.98		0.34	-0.51		-0.7	-8.95		-2.31	-3.52		4.49	4.18		-3.4	-8.13		1.19	-3.91		1.94	5.15
3.48	2.31		-0.65	-0.77		-7.14	17.76		-0.57	14.2		8.88	2.45		-14.13	0.18		-19.48	-2.39		-5.18	-15.77		22.35	-13.23		8.47	9.22		13.11	7.16		2.19	13.08		5.89	6.52		14.81	-2.67		19.53	2.82		0.3	-12.59		0.92	-4.23
-1.22	-6.78		-1.84	13.65		5.55	-11.49		-3.75	2.8		-2.54	7.95		-4.05	8.29		11.96	1.2		-4.9	-6.19		-9.29	1.05		-5.03	-0.66		-11.39	-7.16		3.3	5.7		-2.95	10.95		19.3	2.26		-5.09	-2.54		-3.24	-9.34		1.22	0.29
9.48	6.32		6.65	21.22		13.53	11.48		-5.29	9.15		4.79	-8.95		-23.14	0.29		2.92	-1.11		14.68	-0.01		-8.18	-3.04		7.11	-2.33		15.44	5.88		-3.94	-1.19		-1.85	6.78		4.55	13.57		-6.34	-1.57		-0.14	11.41		10.16	3.8
-7.25	9.97		5.46	12.95		8.44	1.93		3.15	-9.53		-12.55	7.79		-18.98	-10.8		3.89	0.6		2.93	-5.2		1.15	-9.26		11.69	-11.67		3.01	12.72		-7.8	4.56		2.93	6.94		5.87	-9.44		4.48	-6.66		12.04	-3.13		-4.94	-13.88
0.89	0.7		-13.03	-2.02		6.54	-4.89		-3.45	-2.71		0.96	3.47		12.01	-8.25		2.07	2.96		-8.15	-1.16		-1.12	19.99		-12.6	15.15		15.44	2.29		-13.48	15.1		18.35	-9.1		-8.89	-9.27		-4.65	1		6.42	11.03		-2.07	2.4
0	3		0.74	4.25		-1.33	2.21		-6.91	6.56		-14.83	-1.83		2.56	0.83		8.4	-15.7		0.73	3.93		18	3		-8.41	5.18		4.22	2.74		3.88	6.02		-17.9	-9.24		3.98	-6.75		-13.07	1.39		9.11	-7		10	1
-5.34	-2.79		3.34	3.61		-4.44	1.39		2.34	7.53		-1.63	11.23		-6.12	6.79		9.65	5.76		0.23	3.95		3.19	4.2		-0.3	-0.7		-12.25	-10.5		5.64	-4.37		-1.25	-2.62		-7.65	-4.17		6.71	3.34		6.89	-4.27		-12.3	9.1
1.35	-12.27		-2.73	7.15		14.25	9.59		-6.58	-2.61		-17.42	-14.83		2.77	-14.25		7.47	-4.11		-6.43	1.52		23.32	-20.37		-24.32	-4		-10.13	3.67		6.23	7.32		-10.47	-8.57		-14.2	-10.42		14.88	-2.07		-0.41	-1		3.04	-12.12
-1.5	-10.24		8.68	-9.84		0.86	12.56		16.36	10.71		0.91	3.43		0.01	1.12		9.94	10.2		13.05	1.19		-6.47	8.51		10.38	-20.94		-0.88	-17.67		5.3	-10.22		19.51	-11.79		10.87	-5.16		7.23	7.73		16.58	-13.09		-11.29	2.34
-16.78	-8.78		6.17	-1.52		17.59	0.75		4.69	-2.46		6.95	-1.05		-1.68	-1.15		7.87	7.7		9.95	-11.88		-1.29	-7.54		-0.98	10.37		4.05	12.56		0.77	3.23		4.54	1.95		-2.26	-22.31		-2.78	-11.45		9.34	1.76		16.78	-1.71
-5.32	11.21		2.31	-3.64		9.76	-10.23		3.96	-3.19		4.19	-2.45		-4.4	0.02		-3.98	7.94		-3.35	-3.06		0.83	-3.62		2.91	-9.12		11.9	-1.18		-0.96	-19.68		5.97	-16.62		-6.55	-11.62		0.63	-2.94		-3.93	9.24		-8.27	1.82
9.5	9.65		5.21	0.88		-3.08	3.04		-0.27	6.33		-1.32	11.03		-8.64	11.37		-14.58	-16.75		4.25	-12.69		-4	1.83		-4.82	0.57		-2.37	-1.56		7.58	1.73		14.25	2.19		0.49	-4.83		5.11	-2.24		-0.22	13.94		15.96	-5.09
-13.63	5.38		8.89	-5.54		-2.13	0.87		-5.14	-5.88		5.37	2.21		8.54	17.95		9.49	11.5		6.36	10.13		1.8	9.94		0.56	-10.84		-8	1.05		-5.26	-7.1		-1.43	-9.36		-3.58	8.24		-3.73	-0.67		10.57	-1.75		18.33	-6.43
																																																	
"----------------------"																																																	
																																																	
"Coordinates:"																																																	
"0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 "																																																	
"0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 "																																																	
"0 0 0 1 0 0 0 0 0 0 1 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 "																																																	
"0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "																																																	
"1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 1 0 0 0 0 0 1 0 0 "																																																	
"0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 "																																																	
"0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 "																																																	
"0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 1 0 1 0 0 0 1 0 0 1 0 "																																																	
"0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 "																																																	
"0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 "																																																	
"0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 1 1 "																																																	
"0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 "																																																	
"0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 "																																																	
"1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 "																																																	
"0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 "																																																	
"0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 "																																																	
"1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 "																																																	
"0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 "																																																	
"0 0 1 0 1 0 0 1 0 1 0 0 0 1 1 1 1 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 "																																																	
"0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 "																																																	
"0 1 0 0 0 1 1 1 0 1 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 1 0 0 "																																																	
"0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 "																																																	
"1 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 "																																																	
"0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 1 "																																																	
"0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 "																																																	
